week,box_type,predicted_orders
2025-04-14,LFV,81.75838123524287
2025-04-21,LFV,72.63823498011094
2025-04-28,LFV,74.93601283990834
2025-05-05,LFV,83.05048166007761
2025-04-14,LV,83.90986022133139
2025-04-21,LV,81.38396979135315
2025-04-28,LV,76.83672164244071
2025-05-05,LV,85.0631793698816
2025-04-14,MFV,79.29668235196583
2025-04-21,MFV,77.00151177900989
2025-04-28,MFV,69.43538328337947
2025-05-05,MFV,76.49553371783277
2025-04-14,MV,77.72834349645667
2025-04-21,MV,71.96819263702314
2025-04-28,MV,74.6416945401961
2025-05-05,MV,70.03119079516212
2025-04-14,SFV,82.88073672786865
2025-04-21,SFV,90.03311964447079
2025-04-28,SFV,83.00283660883069
2025-05-05,SFV,85.63262114678507
2025-04-14,SV,85.65421923489046
2025-04-21,SV,79.75818872741931
2025-04-28,SV,75.42299980169894
2025-05-05,SV,83.436523632826
2025-04-14,XSFV,77.00844641490096
2025-04-21,XSFV,81.60803262668274
2025-04-28,XSFV,81.21644501919646
2025-05-05,XSFV,80.32240298906063
2025-04-14,FB,74.90887911009104
2025-04-21,FB,78.68450348477448
2025-04-28,FB,79.35738096333239
2025-05-05,FB,80.12867433515638
